Step,v_hf_bsurf,v_hf_bsolv
4420,14404888000,-24092785000
4440,81571496000,-10415007000
4460,-51752338000,16330324000
4480,77653420000,16693807000
4500,79496530000,29072065000
4520,-74210004000,12068126000
4540,-14093142000,19877276000
4560,10619310000,-2493688400
4580,-54233692000,-12365647000
4600,27946740000,8538881300
4620,62905237000,-31304948000
4640,-29762146000,-17932307000
4660,-11795000000,-47714114000
4680,28529745000,-27534458000
4700,-53197489000,7542660300
4720,4501968500,-10978529000
4740,-30631667000,45104943000
4760,1.17429E+11,18776351000
4780,-1.47836E+11,-21887939000
4800,-33132538000,-4840719700
4820,68807364000,-5364266600
4840,-87888206000,-11934241000
4860,1.52688E+11,-25559662000
4880,-87548499000,-7597149700
4900,-27435177000,18522849000
4920,81573755000,8328641000
4940,654847530,16759158000
4960,17722925000,-21365812000
4980,-1.23826E+11,25971670000
5000,1.39382E+11,9065512200
5020,-59126446000,-31146879000
5040,16213260000,53723588000
5060,9693488800,-7642283700
5080,48902848000,-1200279300
5100,23883424000,24091648000
5120,-70140045000,18517393000
5140,9264506900,-2297920200
5160,-7917703500,-62496813000
5180,-20670299000,-37991595000
5200,49330552000,14693409000
5220,-1.90341E+11,24982734000
5240,1.57501E+11,-17847626000
5260,-35579107000,-15313933000
5280,15733430000,-13131084000
5300,48195300000,-40942268000
5320,-1.3838E+11,24105675000
5340,88725573000,-3338353600
5360,-73279263000,-29532430000
5380,-66729019000,19795039000
5400,61441762000,-15914646000
5420,2617089300,7108540000
5440,8697523000,36933778000
5460,-60988445000,-945143010
5480,65648728000,11045416000
5500,-32938620000,9356451200
5520,26202848000,42119454000
5540,-62967343000,7646848200
5560,26405622000,21246004000
5580,1.08207E+11,-30064408000
5600,-1.52223E+11,1646749300
5620,92662159000,-50593672000
5640,-56989969000,-38589370000
5660,-4454713400,5518722600
5680,60868591000,14565374000
5700,-71535832000,-7199839200
5720,33231900000,-28440272000
5740,-31786276000,14452194000
5760,1.17115E+11,1466212100
5780,56759876000,-29893939000
5800,-1.507E+11,69363489000
5820,57778841000,-50697271000
5840,-35464995000,11742331000
5860,94820106000,-15484988000
5880,-18979942000,8655058500
5900,-63102300000,-8949260200
5920,1.06164E+11,11250240000
5940,-1.08617E+11,-10484080000
5960,1.8745E+11,23747344000
5980,-1.60889E+11,-5273134400
6000,74450277000,3268522300
6020,-1.01446E+11,-2685809600
6040,7011317600,7590156500
6060,-16040309000,-5554471000
6080,-1.14483E+11,-8352591700
6100,1.25025E+11,8220169700
6120,-1.10887E+11,34475737000
6140,-52767755000,6227924600
6160,1.05063E+11,-8271815000
6180,-1.61493E+11,-8397349600
6200,2.08955E+11,-25160334000
6220,-1.14537E+11,-35635326000
6240,1.3865E+11,-36847052000
6260,-96765068000,-32831024000
6280,-61102127000,9882974800
6300,1.82216E+11,-38608874000
6320,-8835004100,-20034748000
6340,1.07436E+11,-18248343000
6360,-41707076000,-10362671000
6380,-27193863000,13359230000
6400,-26989516000,14788989000
6420,16175047000,-25689192000
6440,1.54397E+11,9278394700
6460,-52909321000,-763614760
6480,1.28588E+11,21105684000
6500,-1.38498E+11,558664330
6520,1650303500,6258355400
6540,82029569000,-15242189000
6560,-89742303000,40688215000
6580,1.1314E+11,-15488007000
6600,-28328617000,-37603741000
6620,1.06233E+11,-23974102000
6640,-48058868000,-27655452000
6660,-30174711000,-798078590
6680,1.1995E+11,18421177000
6700,-2.0107E+11,-42463391000
6720,59484979000,-11075400000
6740,-1.11071E+11,11357764000
6760,58824400000,8255515200
6780,36741405000,-19382496000
6800,-42369091000,-4562702100
6820,75909828000,16327199000
6840,-68674627000,-4887655800
6860,94084951000,35555362000
6880,-9497396700,-49595849000
6900,-23138843000,-26837919000
6920,57116118000,5996720000
6940,-63999391000,7551480400
6960,1.23136E+11,20142764000
6980,-91781268000,12958404000
7000,-25529500000,-28121173000
7020,-4898345800,5572939300
7040,-61284904000,-3639955800
7060,1.9174E+11,-5635041400
7080,-1.63101E+11,-2229636300
7100,1.20292E+11,23789742000
7120,-29717719000,-13815871000
7140,-31897656000,6338368600
7160,1.45228E+11,35516889000
7180,-1.89401E+11,-3773930400
7200,75739322000,20532150000
7220,-88666485000,13256141000
7240,1.10254E+11,-14749399000
7260,1461096900,27412022000
7280,-1.02672E+11,-19624153000
7300,1.11455E+11,5446385200
7320,-1.48878E+11,-13369894000
7340,1.21569E+11,24860425000
7360,-48946172000,-21524839000
7380,65674685000,7123307900
7400,-18305940000,590051220
7420,-1.0534E+11,-327676720
7440,54562081000,1950820600
7460,-1.8689E+11,-24376065000
7480,2.05579E+11,-26373891000
7500,-1.03864E+11,12630962000
7520,-716466270,-21549812000
7540,1.83135E+11,-23644654000
7560,-2.25056E+11,-9006370500
7580,1.61988E+11,-16212414000
7600,-1.03305E+11,25639661000
7620,1.12211E+11,-15016115000
7640,4800539100,-230210220
7660,-60829571000,5103412900
7680,1.33966E+11,9157622500
7700,-92717917000,24037002000
7720,89398535000,16431547000
7740,-84137247000,27908542000
7760,1.06808E+11,5517469900
7780,-9888235600,-27344144000
7800,-1.4088E+11,-4532316300
7820,1.33964E+11,-39090704000
7840,-2.43011E+11,-13858484000
7860,2.10429E+11,11033748000
7880,-1.92521E+11,-15418148000
7900,7721170000,63108493000
7920,1.17653E+11,29831020000
7940,-1.71277E+11,-6203656100
7960,1.81283E+11,-12867576000
7980,-1.09564E+11,21896063000
8000,93665336000,-37932113000
8020,-29206009000,14639106000
8040,-44028819000,24381440000
8060,1.34268E+11,42740181000
8080,-1.92593E+11,5963676100
8100,1.76576E+11,32900225000
8120,-1.04407E+11,216768810
8140,40701196000,16385702000
8160,96382708000,-32451899000
8180,-1.4282E+11,29050673000
8200,88761518000,-28363129000
